siren;name;codeNAF;employeesCategory;address;position
005472022;;86.09;;BOULEVARD DES OCEANIDES, 44380 PORNICHET;[2.3522,48.8566]
005472063;;84.13;;163 MAYUN, 44410 LA CHAPELLE DES MARAIS;[2.3522,48.8566]
005472238;;70.2C;;LE BOURG, 44630 PLESSE;[2.3522,48.8566]
005472253;;67.08;;276 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005472261;;37.2Z;;LA VILLES DAVAUD, 44380 PORNICHET;[2.3522,48.8566]
005472683;;67.04;;BOURG, 44530 SAINT-GILDAS-DES-BOIS;[2.3522,48.8566]
005472857;;22.01;;BOURG, 44160 SAINTE-ANNE-SUR-BRIVET;[2.3522,48.8566]
005472873;;62.43;;AVENUE DE MAZY, 44380 PORNICHET;[2.3522,48.8566]
005472980;;68.20B;;BOURG, 44360 CORDEMAIS;[2.3522,48.8566]
005473020;;55.71;;10 BOULEVARD DE COURCELLES, 44290 GUEMENE-PENFAO;[2.3522,48.8566]
005473152;;70.2A;;3 ALLEE DE LA COLLE LONGUE, 06270 VILLENEUVE-LOUBET;[2.3522,48.8566]
005473202;;68.20B;;2 PLACE ARISTIDE BRIAND, 44220 COUERON;[2.3522,48.8566]
005473202;;68.20B;;5 RUE DU DOCTEUR JANVIER, 44220 COUERON;[2.3522,48.8566]
005473244;;70.2C;;40 AVENUE GEORGES CLEMENCEAU, 44380 PORNICHET;[2.3522,48.8566]
005473285;INDIVISION LE BRUN MAXIME;52.4Z;;29 RUE DU MAINE, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005473327;;57.07;;8 QUAI DE LA PETITE CHAMBRE, 44490 LE CROISIC;[2.3522,48.8566]
005473418;;70.2C;;LD VILLE BERTHE, 44460 FEGREAC;[2.3522,48.8566]
005473442;;64.30;;ROUTE DE LA COTE D'AMOUR, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005473822;MARY*PIERRE INDIVISION;35.01;;IMP STE ELISABETH, 44260 SAVENAY;[2.3522,48.8566]
005473921;;64.11;;88 AVENUE DE LA REPUBLIQUE, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005473939;;87.06;;RUE DU TRAICT, 44490 LE CROISIC;[2.3522,48.8566]
005473988;;67.08;;Q ST PIERRE, 44420 LA TURBALLE;[2.3522,48.8566]
005474200;;69.12;;AVENUE DE LA MONNERAYE, 44410 HERBIGNAC;[2.3522,48.8566]
005474440;;70.2C;;31 BOULEVARD DE LA LIBERATION, 44360 SAINT-ETIENNE-DE-MONTLUC;[2.3522,48.8566]
005474481;;81.21;;71 AVENUE ALBERT DE MUN, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005474507;;87.01;;ALL DES PETRELS, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005474564;;67.04;;BOULEVARD DE LA LIBERATION, 44220 COUERON;[2.3522,48.8566]
005474598;;55.3A;;8 AVENUE DES PINS, 44380 PORNICHET;[2.3522,48.8566]
005474630;;70.2C;;32 AVENUE DU GENERAL DE GAULLE, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005474747;;55.71;;LD LE DRESNY, 44630 PLESSE;[2.3522,48.8566]
005474770;;67.04;;RUE DE TRIGNAC, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005474945;;67.08;;RTE ROUTE DE ST GILDAS, 44530 GUENROUET;[2.3522,48.8566]
005474960;;68.20B;;86 RUE JEAN GUTENBERG, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005475215;;67.04;;LD LANCE, 44630 PLESSE;[2.3522,48.8566]
005475314;;67.07;;1 RUE DE LA GARE, 44510 LE POULIGUEN;[2.3522,48.8566]
005480066;ETABLISSEMENTS HENRY DUVAL;71.2A;;7 RTE DE POMPIERRE, 44000 NANTES;[2.3522,48.8566]
005480082;SOCIETE BRETONNE DE TRAVAUX PUBLICS;45.1A;;DISSIGNAC, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005480165;LE PAVILLON ROSE SOC;67.01;;AV DU GENERAL DE GAULLE, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005480231;QUINCAILLERIE FRANCOIS;64.22;;220 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005480256;DAVID M ET G STE LE PALUDIER;86.04;;6 RUE DU POULIGUEN, 44740 BATZ-SUR-MER;[2.3522,48.8566]
005480546;SOCIETE DE DISTRIBUTION DE PAPIER;17.12Z;;LENIPHEN, 44350 GUERANDE;[2.3522,48.8566]
005480546;SOCIETE DE DISTRIBUTION DE PAPIER;17.12Z;;322 BOULEVARD JEAN-JACQUES BOSC, 33130 BEGLES;[2.3522,48.8566]
005480546;SOCIETE DE DISTRIBUTION DE PAPIER;17.12Z;;MONTCOUPOT, 51210 MONTMIRAIL;[2.3522,48.8566]
005510037;;64.11;;1 RUE HOHON, 80510 LONG;[2.3522,48.8566]
005510060;;57.02;;2 ROUTE DE FEUQUIERES, 80210 TOURS-EN-VIMEU;[2.3522,48.8566]
005510086;;38.40;;, 80150 CANCHY;[2.3522,48.8566]
005510102;;82.06;;142 CHAUSSEE MARCADE, 80100 ABBEVILLE;[2.3522,48.8566]
005510326;;67.04;;, 80135 SAINT-RIQUIER;[2.3522,48.8566]
005510367;;67.05;;HAM DE BELLEFONTAINE, 80490 BAILLEUL;[2.3522,48.8566]
005510490;;64.24;;, 80120 QUEND;[2.3522,48.8566]
005510508;;62.11;;RUE DU 11 NOVEMBRE, 80220 GAMACHES;[2.3522,48.8566]
005510532;;64.47;;691 RUE D'ABBEVILLE, 80000 AMIENS;[2.3522,48.8566]
005510623;;55.2C;;7 RUE SAINT-ANTOINE, 80510 LONG;[2.3522,48.8566]
005510631;;52.1B;;13 RUE ROGER SALENGRO, 80210 FEUQUIERES-EN-VIMEU;[2.3522,48.8566]
005510722;;64.49;;, 80135 ONEUX;[2.3522,48.8566]
005510854;;81.21;;RUE JEAN DE PONTHIEU, 80100 ABBEVILLE;[2.3522,48.8566]
005511027;;56.02;;15 RUE DU MARAIS, 80120 RUE;[2.3522,48.8566]
005511050;;67.08;;8 RTE DE BERCK, 80120 FORT-MAHON-PLAGE;[2.3522,48.8566]
005511100;;78.02;;CHAUSSEE MARCADE, 80100 ABBEVILLE;[2.3522,48.8566]
005511142;;55.4B;;53 RUE PIERRE CURIE, 80210 FEUQUIERES-EN-VIMEU;[2.3522,48.8566]
005511167;;67.04;;, 80150 DOMPIERRE-SUR-AUTHIE;[2.3522,48.8566]
005511183;;60.2E;;41 RUE DU LIEUTENANT CARON, 80100 ABBEVILLE;[2.3522,48.8566]
005511225;;62.11;;RUE DE L'EGLISE, 80132 CAMBRON;[2.3522,48.8566]
005511357;;87.03;;27 RUE DU MARECHAL FOCH, 80100 ABBEVILLE;[2.3522,48.8566]
005511415;;67.07;;11 RUE DE LA REPUBLIQUE, 80510 LONGPRE-LES-CORPS-SAINTS;[2.3522,48.8566]
005511449;;69.12;;RUE JACQUES MALLET, 80132 HAUTVILLERS-OUVILLE;[2.3522,48.8566]
005511456;;68.20B;;62 RUE GRANDE, 80220 GAMACHES;[2.3522,48.8566]
005511464;;67.05;;259 ROUTE DE ROUEN, 80100 ABBEVILLE;[2.3522,48.8566]
005511472;;64.11;;24 RUE SAINT VULFRAN, 80100 ABBEVILLE;[2.3522,48.8566]
005511530;;64.24;;8 RUE GASTON GARRY, 80120 RUE;[2.3522,48.8566]
005511688;;81.21;;33 RUE VASSEUR, 80120 QUEND;[2.3522,48.8566]
005511738;;62.44;;RUE NOTRE-DAME, 80135 SAINT-RIQUIER;[2.3522,48.8566]
005511845;;81.21;;10 RUE GENERAL LECLERC, 80550 LE CROTOY;[2.3522,48.8566]
005511944;;21.11;;, 80570 DARGNIES;[2.3522,48.8566]
005512025;;81.21;;RUE DU MARECHAL FOCH, 80100 ABBEVILLE;[2.3522,48.8566]
005512066;;67.07;;3 RUE FERDINAND BUISSON, 80210 FEUQUIERES-EN-VIMEU;[2.3522,48.8566]
005512231;;55.40;;, 80150 LE BOISLE;[2.3522,48.8566]
005512363;;62.44;;, 80132 LE TITRE;[2.3522,48.8566]
005512447;;81.21;;RUE ROGER SALENGRO, 80210 FEUQUIERES-EN-VIMEU;[2.3522,48.8566]
005512645;;22.02;;RUE DE L'EGLISE, 80140 HUPPY;[2.3522,48.8566]
005512678;;81.21;;PL DU MONUMENT, 80550 LE CROTOY;[2.3522,48.8566]
005512686;;55.3A;;8 RUE PORTE DU PONT, 80550 LE CROTOY;[2.3522,48.8566]
005512710;;62.43;;9 RTE D ABBEVILLE, 80135 SAINT-RIQUIER;[2.3522,48.8566]
005512728;;67.05;;RUE DE MALADRERIE, 80150 YVRENCHEUX;[2.3522,48.8566]
005515309;;92.7C;;RUE D’ABBEVILLE, 80120 QUEND;[2.3522,48.8566]
005520028;ETABLISSEMENTS SUEUR ET FILS;68.20B;;RUE AMBROISE CROIZAT, 80570 DARGNIES;[2.3522,48.8566]
005520036;E F S I;15.11;;220 RUE DE MENCHECOURT, 80100 ABBEVILLE;[2.3522,48.8566]
005520077;ETABLISSEMENTS MERCIER;25.72Z;;13 RUE GAMBETTA, 80210 FEUQUIERES-EN-VIMEU;[2.3522,48.8566]
